"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.307784500E-2,1.492629051E-1,-6.000404358E-1,3.390526772E-1,7.051841301E-1
2.557269100E-2,8.221244812E-2,-5.619401932E-1,4.161529541E-1,7.040731131E-1
2.806781900E-2,4.913425446E-2,-5.240068436E-1,4.196271896E-1,6.731153878E-1
3.056282100E-2,4.207468033E-2,-4.589891434E-1,3.685650826E-1,5.901538211E-1
3.305789600E-2,-7.121801376E-2,-3.712391853E-1,4.103317261E-1,5.579091894E-1
3.555297300E-2,-1.641690731E-1,-3.141474724E-1,4.751577377E-1,5.928026608E-1
3.804782100E-2,-2.356727123E-1,-2.641816139E-1,5.561895370E-1,6.593029301E-1
4.054284300E-2,-3.596048355E-1,-1.780028343E-1,6.679368019E-1,7.791920290E-1
4.303769200E-2,-4.659197330E-1,-1.043395996E-1,7.685265541E-1,9.047657233E-1
4.553276600E-2,-4.947061539E-1,-5.627012253E-2,9.023013115E-1,1.030557210E0
4.802776800E-2,-4.228277206E-1,-5.582189560E-2,1.016149998E0,1.102025491E0
5.052284300E-2,-3.635869026E-1,-5.782461166E-2,1.166863918E0,1.223564680E0
5.301771900E-2,-3.785796165E-1,-7.163143158E-2,1.258588791E0,1.316244405E0
5.551279300E-2,-5.343818665E-1,-2.094812393E-1,1.505365372E0,1.611077674E0
5.800787000E-2,-6.039123535E-1,-1.432967186E-1,1.636963367E0,1.750683623E0
6.050287200E-2,-6.396744251E-1,-4.011487961E-2,1.645684242E0,1.766088672E0
6.299771900E-2,-6.514675617E-1,1.172709465E-1,1.649793625E0,1.777633670E0
6.549278400E-2,-6.491205692E-1,1.893711090E-1,1.732639790E0,1.859908485E0
6.798778600E-2,-6.783764362E-1,2.240443230E-1,1.861171722E0,1.993577344E0
7.048286000E-2,-7.040569782E-1,2.331509590E-1,1.917897224E0,2.056303811E0
7.297770900E-2,-8.041186333E-1,2.778100967E-1,1.848385811E0,2.034776482E0
7.547278400E-2,-8.521597385E-1,2.729206085E-1,1.697383881E0,1.918794913E0
7.796781000E-2,-9.187257290E-1,2.151222229E-1,1.519979954E0,1.789042648E0
8.046288400E-2,-9.541707039E-1,1.582250595E-1,1.373579502E0,1.679939746E0
8.295773300E-2,-9.561867714E-1,1.181406975E-1,1.239779472E0,1.570128500E0
8.545273100E-2,-9.674427509E-1,7.535552979E-2,1.141249180E0,1.498023238E0
8.794780800E-2,-1.097249031E0,4.264879227E-2,1.207426071E0,1.632069874E0
9.044266600E-2,-1.113065004E0,-1.721906662E-2,1.015481472E0,1.506788910E0
9.293774100E-2,-1.009294987E0,-5.259370804E-2,7.817702293E-1,1.277735168E0
9.543281800E-2,-9.257121086E-1,-1.243672371E-1,7.396306992E-1,1.191412476E0
9.792782000E-2,-8.152153492E-1,-1.109986305E-1,7.631378174E-1,1.122174715E0
1.004228950E-1,-6.989769936E-1,-5.385875702E-2,5.470533371E-1,8.892339157E-1
1.029177520E-1,-6.257293224E-1,2.186536789E-2,3.491621017E-1,7.168887309E-1
1.054128270E-1,-6.071395874E-1,1.005973816E-1,2.295689583E-1,6.568410907E-1
1.079078290E-1,-6.678223610E-1,5.652379990E-2,2.973361015E-1,7.332055667E-1
1.104026750E-1,-5.804357529E-1,-1.521711349E-1,4.132699966E-1,7.285971505E-1
1.128977500E-1,-5.225615501E-1,-2.077655792E-1,3.583121300E-1,6.668018387E-1
1.153927330E-1,-4.930403233E-1,-2.115702629E-1,1.669063568E-1,5.618794074E-1
1.178878080E-1,-5.010931492E-1,-2.719836235E-1,2.509117126E-3,5.701541294E-1
1.203826560E-1,-5.277416706E-1,-2.890701294E-1,-5.083036423E-2,6.038679794E-1
1.228777310E-1,-6.058127880E-1,-2.284832001E-1,-3.482866287E-2,6.484032253E-1
1.253727420E-1,-6.181757450E-1,-2.738738060E-1,-2.253198624E-2,6.765026266E-1
1.278678170E-1,-5.648262501E-1,-2.687988281E-1,-8.771514893E-2,6.316450349E-1
1.303626650E-1,-6.082940102E-1,-1.639237404E-1,-1.170043945E-1,6.407672150E-1
1.328577400E-1,-6.309273243E-1,-1.259050369E-1,-9.469223022E-2,6.502983818E-1
1.353527570E-1,-6.232573986E-1,-9.998369217E-2,-7.091951370E-2,6.351976866E-1
1.378478320E-1,-5.957767963E-1,-1.115255356E-1,-8.472156525E-2,6.120177120E-1
1.403426800E-1,-5.801844597E-1,-1.116919518E-1,-7.999372482E-2,5.962282242E-1
1.428376780E-1,-4.860789776E-1,-1.729149818E-1,-7.174587250E-2,5.208837045E-1
1.453327550E-1,-3.537561893E-1,-2.637333870E-1,-2.898263931E-2,4.421976191E-1
1.478276260E-1,-3.848335743E-1,-2.665538788E-1,7.050275803E-2,4.734115430E-1
1.503227010E-1,-4.542555809E-1,-2.714614868E-1,1.489629745E-1,5.497539808E-1
1.528177030E-1,-4.234087467E-1,-3.455495834E-1,1.166872978E-1,5.588339708E-1
1.553127780E-1,-4.313330650E-1,-3.315019608E-1,9.003400803E-2,5.514053732E-1
1.578076260E-1,-3.618581295E-1,-3.481106758E-1,1.494007111E-1,5.238730008E-1
1.603027400E-1,-3.133947849E-1,-3.626403809E-1,2.016029358E-1,5.199693075E-1
1.627977420E-1,-2.900023460E-1,-3.155694008E-1,2.541418076E-1,4.982704745E-1
1.652928170E-1,-2.963783741E-1,-3.129730225E-1,2.860913277E-1,5.173398314E-1
1.677876650E-1,-2.806043625E-1,-2.990965843E-1,3.313322067E-1,5.272367649E-1
1.702826820E-1,-4.607481956E-1,-3.119034767E-1,5.060825348E-1,7.521251296E-1
1.727777590E-1,-6.060247421E-1,-3.234472275E-1,6.283431053E-1,9.309667851E-1
1.752726070E-1,-5.194377899E-1,-2.836570740E-1,5.615420341E-1,8.158470502E-1
1.777676820E-1,-4.046051502E-1,-2.942910194E-1,5.350418091E-1,7.325177603E-1
