"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.384047900E-2,-4.329533577E-1,-1.046551228E0,-2.668719292E0,2.899099988E0
1.633549800E-2,-5.859534740E-1,-1.235550880E0,-2.412669182E0,2.773247200E0
1.883034400E-2,-3.554830551E-1,-1.112524033E0,-2.265013695E0,2.548404396E0
2.132534200E-2,-2.663850784E-1,-1.145525455E0,-2.088008404E0,2.396449180E0
2.382019000E-2,-2.064154148E-1,-1.148663044E0,-1.728320122E0,2.085455479E0
2.631518800E-2,-3.647875786E-2,-1.076664925E0,-1.307261467E0,1.693951181E0
2.881004600E-2,5.677595139E-1,-8.142509460E-1,-7.486886978E-1,1.243338343E0
3.130504400E-2,8.476257324E-1,-6.440839767E-1,-3.466725349E-1,1.119596087E0
3.379989200E-2,8.426456451E-1,-5.428090096E-1,-1.642947197E-1,1.015719479E0
3.629489000E-2,7.702052593E-1,-5.218138695E-1,8.987665176E-2,9.346569790E-1
3.878973300E-2,6.617734432E-1,-5.863704681E-1,3.506526947E-1,9.511738686E-1
4.128480800E-2,5.868263245E-1,-6.670165062E-1,5.840702057E-1,1.063209368E0
4.377981000E-2,4.955363274E-1,-7.336249352E-1,7.776527405E-1,1.178348667E0
4.627465600E-2,4.457578659E-1,-6.998214722E-1,8.672308922E-1,1.200224807E0
4.876965400E-2,3.856191635E-1,-6.604180336E-1,9.817590714E-1,1.244469764E0
5.126450200E-2,3.574609756E-1,-5.981068611E-1,1.017416954E0,1.233145338E0
5.375950000E-2,3.882007599E-1,-5.452032089E-1,9.499583244E-1,1.162053005E0
5.625434800E-2,4.400734901E-1,-5.397057533E-1,8.707118034E-1,1.114937676E0
5.874934600E-2,4.701685905E-1,-5.003447533E-1,6.594719887E-1,9.520014073E-1
6.124422300E-2,5.318241119E-1,-5.738649368E-1,5.351576805E-1,9.479196141E-1
6.373922100E-2,5.702724457E-1,-7.426834106E-1,5.209574699E-1,1.071534412E0
6.623407000E-2,6.484515667E-1,-9.331884384E-1,4.888210297E-1,1.237043287E0
6.872906800E-2,5.889890194E-1,-9.896659851E-1,1.874561310E-1,1.166827591E0
7.122391600E-2,5.165669918E-1,-1.116204739E0,2.391610146E-1,1.252977441E0
7.371892800E-2,5.650918484E-1,-1.219240665E0,3.369965553E-1,1.385439741E0
7.621377600E-2,4.087319374E-1,-1.252738953E0,3.145303726E-1,1.354749436E0
7.870877400E-2,1.807045937E-1,-1.284711361E0,5.818767548E-1,1.421871298E0
8.120362200E-2,-6.639862061E-2,-1.281732082E0,7.579717636E-1,1.490559325E0
8.369862000E-2,-3.060379028E-1,-1.374608517E0,9.701952934E-1,1.710113060E0
8.619346800E-2,-4.475870132E-1,-1.457327843E0,1.114633083E0,1.888529980E0
8.868846600E-2,-6.385316849E-1,-1.372972012E0,8.344588280E-1,1.728900342E0
9.118331400E-2,-8.080511093E-1,-1.295185089E0,9.333600998E-1,1.789304917E0
9.367831200E-2,-7.548642159E-1,-1.307458878E0,1.168485165E0,1.909090433E0
9.617338900E-2,-7.421762943E-1,-1.277405262E0,1.011913300E0,1.790686567E0
9.866826200E-2,-8.079659939E-1,-1.316999435E0,1.088329315E0,1.889909325E0
1.011632600E-1,-6.769740582E-1,-1.463029861E0,1.294743061E0,2.067633876E0
1.036581080E-1,-6.244013309E-1,-1.544541359E0,1.107907295E0,2.000735766E0
1.061531060E-1,-7.819824219E-1,-1.275989056E0,5.021190643E-1,1.578533539E0
1.086479540E-1,-1.144448638E0,-1.611371994E0,3.275671005E-1,2.003392771E0
1.111429660E-1,-1.050358653E0,-1.958026886E0,1.851253510E-1,2.229662302E0
1.136378140E-1,-9.394750595E-1,-2.028391361E0,-1.847763062E-1,2.243017429E0
1.161328120E-1,-1.028309822E0,-1.827250481E0,-4.009742737E-1,2.134723818E0
1.186276600E-1,-1.319923639E0,-1.399291515E0,-2.209877968E-1,1.936246566E0
1.211226720E-1,-1.686104059E0,-9.871292114E-1,7.556533813E-2,1.955270083E0
1.236175200E-1,-1.890250206E0,-6.823587418E-1,2.243709564E-2,2.009766831E0
1.261125180E-1,-1.923193812E0,-5.864238739E-1,-1.400613785E-2,2.010662471E0
1.286073670E-1,-1.876063108E0,-6.643147469E-1,-1.143550873E-1,1.993490395E0
1.311023650E-1,-1.972037673E0,-8.562765121E-1,-2.883110046E-1,2.169162346E0
1.335972230E-1,-3.931525230E0,-1.500329018E0,-1.138518810E0,4.359369551E0
1.360922210E-1,-5.081564903E0,-1.857427597E0,-8.088402748E-1,5.470517502E0
1.385870690E-1,-5.181059837E0,-1.769257069E0,-6.942291260E-1,5.518659773E0
1.410820670E-1,-4.773454189E0,-1.572449207E0,-1.441387653E0,5.228389788E0
1.435769140E-1,-4.455881596E0,-1.220029831E0,-1.629918098E0,4.898978117E0
1.460719120E-1,-4.119888783E0,-8.423042297E-1,-1.302007198E0,4.402065736E0
1.485667600E-1,-3.896087646E0,-5.902199745E-1,-1.017300129E0,4.069736861E0
1.510618550E-1,-3.583734989E0,-4.545793533E-1,-7.895474434E-1,3.697726873E0
1.535568570E-1,-3.089285374E0,-3.750724792E-1,-7.412114143E-1,3.199024515E0
1.560517030E-1,-2.365254402E0,-4.034461975E-1,-6.974267960E-1,2.498719944E0
1.585467010E-1,-1.638564825E0,-4.501118660E-1,-6.105389595E-1,1.805617124E0
1.610415490E-1,-9.341571331E-1,-6.111054420E-1,-4.457149506E-1,1.201982208E0
1.635365470E-1,-4.581875801E-1,-7.360200882E-1,-3.525838852E-1,9.359363359E-1
1.660313960E-1,-9.980249405E-2,-8.721904755E-1,-2.557849884E-1,9.143865286E-1
1.685263940E-1,2.606799603E-1,-1.039567471E0,-2.180056572E-1,1.093700614E0
1.710212420E-1,4.717411995E-1,-1.191733837E0,-2.310266495E-1,1.302360400E0
1.735162400E-1,7.744426727E-1,-1.432660580E0,-2.383017540E-1,1.645923910E0
1.760110880E-1,1.612372398E0,-1.674759388E0,-2.989568710E-1,2.343915308E0
1.785060710E-1,2.378412247E0,-1.902217865E0,-3.391523361E-1,3.064359954E0
1.810009190E-1,2.653947830E0,-1.956158161E0,-3.261356354E-1,3.313058751E0
1.834959170E-1,2.942698956E0,-1.970593452E0,-2.592668533E-1,3.551047029E0
1.859907650E-1,3.262008190E0,-1.907500267E0,-1.801228523E-1,3.783080615E0
1.884857630E-1,3.532404900E0,-1.695160866E0,-1.044816971E-1,3.919486084E0
1.909805820E-1,3.632347107E0,-1.562710285E0,4.329919815E-2,3.954476421E0
