"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.501053700E-2,-1.524577141E-1,-4.593114853E-1,-8.887391090E-1,1.011962252E0
1.750562800E-2,-5.645751953E-2,-3.873114586E-1,-1.031838894E0,1.103580138E0
2.000047400E-2,1.400749683E-1,-3.377633095E-1,-1.025324345E0,1.088574785E0
2.249547400E-2,3.670034409E-1,-3.907179832E-1,-9.753603935E-1,1.112960002E0
2.499055100E-2,5.321128368E-1,-3.876729012E-1,-8.776082993E-1,1.097101033E0
2.748539900E-2,6.760318279E-1,-3.156790733E-1,-8.745636940E-1,1.149579908E0
2.998049300E-2,7.136075497E-1,-2.121357918E-1,-9.473547935E-1,1.204872787E0
3.247549500E-2,6.845352650E-1,-1.311473846E-1,-9.625535011E-1,1.188401198E0
3.497057000E-2,6.273586750E-1,-4.525470734E-2,-9.294157028E-1,1.122247942E0
3.746541800E-2,5.557966232E-1,1.434707642E-2,-8.528556824E-1,1.018075901E0
3.996041600E-2,4.715998173E-1,4.020738602E-2,-7.547283173E-1,8.908635442E-1
4.245547800E-2,4.163599014E-1,4.012346268E-2,-6.495594978E-1,7.725885069E-1
4.495032600E-2,3.720381260E-1,2.111291885E-2,-5.267605782E-1,6.452401330E-1
4.744540100E-2,3.218734264E-1,2.103996277E-2,-4.076409340E-1,5.198233486E-1
4.994017200E-2,2.693595886E-1,9.083747864E-3,-3.509087563E-1,4.424636230E-1
5.243524700E-2,2.307374477E-1,6.333351135E-3,-3.215527534E-1,3.958232615E-1
5.493024700E-2,1.515336037E-1,4.154682159E-3,-2.924571037E-1,3.294098541E-1
5.742532400E-2,1.372005939E-1,-6.337165833E-4,-3.116521835E-1,3.405165019E-1
5.992017200E-2,8.698391914E-2,1.831674576E-2,-2.725048065E-1,2.866366601E-1
6.241524700E-2,6.798386574E-2,2.317094803E-2,-2.243695259E-1,2.355851926E-1
6.491024900E-2,6.187677383E-2,5.238628387E-2,-1.836385727E-1,2.007390925E-1
6.740532300E-2,8.782863617E-2,5.228376389E-2,-1.165742874E-1,1.550387880E-1
6.990009400E-2,1.221854687E-1,4.264307022E-2,-6.605243683E-2,1.452950261E-1
7.239516900E-2,1.340892315E-1,5.963277817E-2,9.895277023E-2,1.769961609E-1
7.489001700E-2,1.836202145E-1,4.206800461E-2,1.924691200E-1,2.693148016E-1
