"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.671915720E-1,1.253601789E0,-2.858824730E-1,4.107904434E-1,1.349812959E0
1.696863430E-1,1.182113886E0,-3.070220947E-1,3.676905632E-1,1.275481147E0
1.721811870E-1,1.024747133E0,-2.420811653E-1,3.849835396E-1,1.121125463E0
1.746759580E-1,8.847005367E-1,-1.832489967E-1,4.857530594E-1,1.025783247E0
1.771709560E-1,7.924644947E-1,-1.589913368E-1,5.133037567E-1,9.574753089E-1
1.796658050E-1,7.102754116E-1,-1.481919289E-1,4.729800224E-1,8.661189928E-1
1.821605740E-1,6.203682423E-1,-1.873879433E-1,4.996199608E-1,8.182854652E-1
1.846553430E-1,6.035797596E-1,-2.579598427E-1,5.636582375E-1,8.651950158E-1
1.871503560E-1,4.710140228E-1,-2.550067902E-1,6.371159554E-1,8.323457294E-1
1.896452040E-1,3.367288113E-1,-2.439703941E-1,6.773080826E-1,7.947666854E-1
1.921402020E-1,2.320392132E-1,-2.668943405E-1,6.686382294E-1,7.564072099E-1
1.946349740E-1,1.359715462E-1,-2.587633133E-1,5.986332893E-1,6.661895592E-1
1.971298180E-1,6.517243385E-2,-2.812004089E-1,5.811710358E-1,6.489074579E-1
1.996245450E-1,3.230810165E-2,-2.829918861E-1,5.658240318E-1,6.334706434E-1
2.021195430E-1,2.100133896E-2,-2.902159691E-1,5.905013084E-1,6.582994457E-1
2.046143140E-1,4.317164421E-2,-3.129110336E-1,6.131663322E-1,6.897463714E-1
2.071091580E-1,4.350733757E-2,-3.007583618E-1,6.417202950E-1,7.100376170E-1
2.096041430E-1,8.858680725E-2,-2.975735664E-1,7.124729156E-1,7.771842159E-1
2.120989910E-1,1.786229610E-1,-2.802963257E-1,8.834657669E-1,9.439194636E-1
2.145937610E-1,2.673692703E-1,-2.810659409E-1,7.844834328E-1,8.751563552E-1
2.170887590E-1,3.344573975E-1,-3.372888565E-1,5.764498711E-1,7.469404108E-1
2.195835300E-1,4.175465107E-1,-3.597888947E-1,4.966158867E-1,7.419032796E-1
2.220783840E-1,5.136117935E-1,-2.946352959E-1,5.442938805E-1,8.042778502E-1
2.245731550E-1,6.445729733E-1,-2.403917313E-1,5.227828026E-1,8.640395598E-1
2.270681530E-1,7.859222889E-1,-2.336845398E-1,4.689922333E-1,9.445824597E-1
2.295630020E-1,8.711280823E-1,-2.812447548E-1,3.710007668E-1,9.877268432E-1
2.320577710E-1,9.390861988E-1,-3.088335991E-1,2.560024261E-1,1.021174972E0
2.345527640E-1,9.965913296E-1,-3.454647064E-1,1.669387817E-1,1.067899199E0
2.370476120E-1,1.023277760E0,-3.750147820E-1,2.082486153E-1,1.109549884E0
2.395423810E-1,1.049123287E0,-4.052166939E-1,1.626429558E-1,1.136359526E0
2.420373790E-1,1.010096073E0,-3.914990425E-1,1.006565094E-1,1.087978543E0
2.445321500E-1,9.776599407E-1,-3.747487068E-1,-6.980895996E-3,1.047045503E0
2.470270000E-1,9.854724407E-1,-3.605952263E-1,-3.760337830E-2,1.050047076E0
2.495220000E-1,1.007954836E0,-3.110804558E-1,-5.906295776E-2,1.056519017E0
2.520167710E-1,1.019198656E0,-3.013744354E-1,-1.358909607E-1,1.071475060E0
2.545116150E-1,1.026523113E0,-2.639656067E-1,-2.724456787E-1,1.094373881E0
2.570066150E-1,9.833981991E-1,-2.971982956E-1,-3.318023682E-1,1.079579389E0
2.595013710E-1,8.518590927E-1,-3.609681129E-1,-3.783802986E-1,9.995666775E-1
2.619962150E-1,2.834596634E-1,-7.971224785E-1,-2.867369652E-1,8.932926249E-1
2.644909870E-1,-8.240180016E-1,-1.467404366E0,2.731657028E-1,1.704963560E0
2.669859850E-1,-8.760488033E-1,-8.811607361E-1,2.316932678E-1,1.263957087E0
2.694808280E-1,-8.263702393E-1,-4.278016090E-1,2.662835121E-1,9.678888871E-1
2.719755970E-1,-7.471528053E-1,-1.525392532E-1,8.852386475E-2,7.676861422E-1
2.744705950E-1,-5.579757690E-1,1.384296417E-1,-5.973434448E-2,5.779860867E-1
2.769653660E-1,-3.381788731E-1,4.327425957E-1,1.457176208E-1,5.682118701E-1
2.794602000E-1,-1.263246536E-1,6.212444305E-1,3.756818771E-1,7.369120934E-1
2.819549720E-1,1.071860790E-1,7.078146935E-1,4.230012894E-1,8.315170393E-1
2.844499700E-1,3.100149632E-1,6.315779686E-1,3.081011772E-1,7.680666268E-1
2.869447410E-1,4.954333305E-1,4.285626411E-1,1.915369034E-1,6.825001888E-1
2.894395850E-1,6.339893341E-1,1.405611038E-1,7.181262970E-2,6.533429065E-1
2.919345950E-1,7.240717411E-1,-1.343564987E-1,-5.647277832E-2,7.385937515E-1
2.944294430E-1,7.663550377E-1,-3.944134712E-1,-8.482933044E-2,8.660589156E-1
2.969242120E-1,7.138769627E-1,-5.618782043E-1,-2.051506042E-1,9.313507421E-1
2.994189820E-1,5.638556480E-1,-6.261878014E-1,-4.687232971E-1,9.642333139E-1
3.019139320E-1,4.090869427E-1,-6.131806374E-1,-6.799688339E-1,1.002846068E0
3.044087800E-1,2.860009670E-1,-5.223040581E-1,-8.409628868E-1,1.030444884E0
3.069035490E-1,2.030529976E-1,-4.164633751E-1,-9.771094322E-1,1.081394981E0
3.093985470E-1,1.593317986E-1,-3.069252968E-1,-1.105135918E0,1.157978910E0
3.118933180E-1,1.086752415E-1,-2.451539040E-1,-1.128049374E0,1.159485288E0
3.143884020E-1,1.028361320E-1,-2.296714783E-1,-1.206005573E0,1.231979586E0
3.168831730E-1,1.354477406E-1,-2.257280350E-1,-1.175345421E0,1.204465066E0
3.193780200E-1,2.014179230E-1,-2.691335678E-1,-1.191142559E0,1.237668232E0
3.218727890E-1,3.020989895E-1,-3.052396774E-1,-1.166981220E0,1.243495166E0
3.243677870E-1,3.265783787E-1,-3.579487801E-1,-1.164856434E0,1.261614552E0
3.268625630E-1,3.373670578E-1,-3.413996696E-1,-1.204578876E0,1.296680584E0
3.293574070E-1,3.401141167E-1,-3.045792580E-1,-1.327302933E0,1.403630725E0
3.318521790E-1,3.799238205E-1,-2.910208702E-1,-1.375820160E0,1.456679913E0
3.343471770E-1,4.304072857E-1,-3.186249733E-1,-1.353181839E0,1.455291515E0
3.368420250E-1,5.029025078E-1,-3.699841499E-1,-1.258745193E0,1.405076036E0
3.393369890E-1,6.568670273E-1,-4.889612198E-1,-1.101385593E0,1.372445843E0
3.418317600E-1,7.674810886E-1,-5.714540482E-1,-1.005009651E0,1.387671196E0
3.443265290E-1,7.790367603E-1,-5.861043930E-1,-9.317331314E-1,1.348533745E0
3.468213730E-1,7.569005489E-1,-6.177625656E-1,-8.717169762E-1,1.309358436E0
3.493163730E-1,7.095746994E-1,-6.443157196E-1,-8.505969048E-1,1.281465604E0
3.518111550E-1,6.430928707E-1,-7.121820450E-1,-1.123650551E0,1.477620474E0
3.543059990E-1,4.479789734E-1,-7.313914299E-1,-1.556681633E0,1.777322787E0
3.568007700E-1,1.807925701E-1,-6.700959206E-1,-1.668387413E0,1.806995035E0
3.592958450E-1,-1.756911278E-1,-6.154808998E-1,-1.281888008E0,1.432801792E0
3.617906160E-1,-4.547457695E-1,-6.078500748E-1,-7.732210159E-1,1.083580254E0
3.642853990E-1,-7.201280594E-1,-6.868214607E-1,-3.307099342E-1,1.048654949E0
3.667803970E-1,-9.107420444E-1,-6.707844734E-1,-1.389880180E-1,1.139614211E0
3.692751690E-1,-1.134348631E0,-6.617064476E-1,-6.102895737E-2,1.314658424E0
3.717700130E-1,-1.255776644E0,-6.266837120E-1,-1.713576317E-1,1.413885035E0
3.742650130E-1,-1.412470579E0,-6.817049980E-1,-2.290830612E-1,1.585015423E0
3.767597840E-1,-2.677431583E0,-1.602051735E0,-5.145297050E-1,3.162269828E0
3.792546280E-1,-3.564427853E0,-2.140958309E0,-4.262232780E-1,4.179774477E0
3.817496280E-1,-3.881416798E0,-2.285658360E0,1.718258858E-1,4.507677299E0
3.842443990E-1,-3.746011734E0,-2.169234753E0,1.309003830E-1,4.330741072E0
